frame_n,nano_sec,sec,size,compression rate,
515,29703400,0,73534252,0.106177,0.00297034
516,33684400,0,73534252,0.105972,0.00336844
517,27460300,0,73534252,0.105767,0.00274603
518,27067100,0,73534252,0.105563,0.00270671
519,27164200,0,73534252,0.10536,0.00271642
520,27945500,0,73534252,0.105158,0.00279455
521,28085400,0,61747394,0.0881329,0.00280854
522,27733500,0,62746824,0.0893882,0.00277335
523,29391900,0,63746254,0.0906387,0.00293919
524,34521500,0,64745684,0.0918844,0.00345215
525,36742400,0,65745114,0.0931253,0.00367424
526,30740900,0,66744544,0.0943616,0.00307409
527,33916700,0,67743974,0.0955932,0.00339167
528,34886000,0,68743404,0.0968201,0.0034886
529,34598400,0,69742834,0.0980424,0.00345984
530,31096200,0,70742321,0.0992601,0.00310962
531,31605700,0,71760183,0.100499,0.00316057
532,30893700,0,72778045,0.101733,0.00308937
533,28463600,0,73795907,0.102963,0.00284636
534,28116400,0,74813769,0.104188,0.00281164
535,27525000,0,75831631,0.105409,0.0027525
536,27387700,0,76849493,0.106624,0.00273877
537,29114400,0,77867355,0.107836,0.00291144
538,27514700,0,78885217,0.109043,0.00275147
539,26521300,0,79903079,0.110245,0.00265213
540,30064600,0,80920941,0.111443,0.00300646
541,29681700,0,81938803,0.112637,0.00296817
542,29623000,0,82956665,0.113826,0.0029623
543,32787700,0,83974527,0.115011,0.00327877
544,33108000,0,84992389,0.116191,0.0033108
545,28472200,0,86010251,0.117367,0.00284722
546,34715100,0,87028113,0.118539,0.00347151
547,30082200,0,88045975,0.119707,0.00300822
548,31740200,0,89083293,0.120897,0.00317402
549,31126400,0,90120611,0.122082,0.00311264
550,34336500,0,91175337,0.123287,0.00343365
551,37269400,0,92230063,0.124487,0.00372694
552,37876000,0,93284789,0.125683,0.0037876
553,27726700,0,94339572,0.126874,0.00277267
554,29115000,0,95394298,0.128062,0.0029115
555,28025200,0,96449024,0.129245,0.00280252
556,29383200,0,97503750,0.130424,0.00293832
557,27253400,0,98558476,0.131598,0.00272534
558,26658300,0,99613202,0.132769,0.00266583
559,30242900,0,100667928,0.133935,0.00302429
560,32140900,0,101722654,0.135097,0.00321409
561,28195300,0,102777380,0.136255,0.00281953
562,26984200,0,103832106,0.137408,0.00269842
563,29315400,0,104886832,0.138558,0.00293154
564,27200700,0,105941558,0.139704,0.00272007
565,27410100,0,106996284,0.140845,0.00274101
566,26884800,0,108068418,0.142006,0.00268848
567,31526700,0,109140552,0.143162,0.00315267
568,27633700,0,110212686,0.144314,0.00276337
569,27566800,0,111284820,0.145463,0.00275668
570,29272200,0,112356954,0.146607,0.00292722
571,33505000,0,113441376,0.147763,0.0033505
572,34018700,0,114525798,0.148915,0.00340187
573,34549500,0,114525798,0.148656,0.00345495
574,31247000,0,114525798,0.148397,0.0031247
575,31927700,0,114525798,0.14814,0.00319277
576,27817000,0,114525798,0.147883,0.0027817
577,29246600,0,114525798,0.147627,0.00292466
578,39059200,0,114525798,0.147372,0.00390592
579,32474100,0,114525798,0.147118,0.00324741
580,30535100,0,114525798,0.146865,0.00305351
581,32296200,0,114525798,0.146612,0.00322962
582,32717900,0,114525798,0.146361,0.00327179
583,34147500,0,114525798,0.14611,0.00341475
584,33268700,0,68424805,0.0871461,0.00332687
585,33763100,0,69534827,0.0884087,0.00337631
586,36027900,0,70644906,0.089667,0.00360279
587,31743300,0,71754928,0.0909211,0.00317433
588,28531200,0,72864950,0.0921708,0.00285312
589,27376000,0,73974972,0.0934164,0.0027376
590,27478400,0,75099330,0.0946757,0.00274784
591,35432200,0,76241096,0.0959528,0.00354322
592,34389300,0,77382862,0.0972255,0.00343893
593,30981000,0,78524628,0.0984939,0.0030981
594,33525800,0,79666394,0.0997581,0.00335258
