frame_n,nano_sec,sec,size,compression rate,n_change,
457,82045700,0,2966842054,4.82635,200,11682566
458,73146800,0,2978549136,4.83484,200,11707082
459,63477000,0,2990279062,4.84333,200,11729926
460,57326200,0,3002032540,4.85182,200,11753478
461,63987700,0,3013809883,4.86031,200,11777343
462,60555100,0,3025610209,4.8688,200,11800326
463,63950200,0,3037433575,4.87729,200,11823366
464,67464000,0,3049279782,4.88579,200,11846207
465,68632800,0,3061149740,4.89428,200,11869958
466,84036200,0,3073042738,4.90277,200,11892998
467,101485600,0,3084958634,4.91127,200,11915896
468,54286400,0,3096898224,4.91976,200,11939590
469,58170900,0,3108860854,4.92826,200,11962630
470,57866600,0,3120846325,4.93676,200,11985471
471,61834800,0,3132854267,4.94525,200,12007942
472,66850900,0,3144885249,4.95375,200,12030982
473,62325900,0,3156939584,4.96224,200,12054335
474,61332800,0,3169016902,4.97074,200,12077318
475,67865400,0,3181116748,4.97924,200,12099846
476,66648200,0,3193239492,4.98773,200,12122744
477,67965000,0,3205385418,4.99623,200,12145926
478,65761000,0,3217555152,5.00473,200,12169734
479,77712800,0,3229749519,5.01323,200,12194367
480,87457600,0,3241966101,5.02173,200,12216582
481,62118200,0,3254205211,5.03023,200,12239110
482,71828500,0,3266468442,5.03873,200,12263231
483,85795900,0,3278754656,5.04724,200,12286214
484,65681400,0,3291064934,5.05574,200,12310278
485,66381200,0,3303398448,5.06425,200,12333514
486,63211700,0,3315756086,5.07275,200,12357638
487,58228000,0,3328137788,5.08126,200,12381702
488,88490100,0,3340541819,5.08977,200,12404031
489,70917600,0,3352969601,5.09828,200,12427782
490,60097600,0,3365421447,5.10679,200,12451846
491,64492800,0,3377895622,5.1153,200,12474175
492,68206200,0,3390390988,5.12381,200,12495366
493,98888800,0,3402909138,5.13232,200,12518150
494,67923600,0,3415450442,5.14083,200,12541304
495,74554000,0,3428014928,5.14933,200,12564486
496,55989300,0,3440602198,5.15784,200,12587270
497,60740300,0,3453212053,5.16635,200,12609855
498,72226200,0,3465845147,5.17486,200,12633094
499,87758100,0,3478501793,5.18337,200,12656646
500,73435800,0,3491182304,5.19188,200,12680511
501,68176800,0,3503885542,5.20039,200,12703238
502,73332700,0,3516612076,5.20891,200,12726534
503,70228600,0,3529361508,5.21742,200,12749432
504,69927900,0,3542133866,5.22593,200,12772358
505,94272000,0,3554929008,5.23444,200,12795142
506,76817200,0,3567745199,5.24295,200,12816191
507,62407800,0,3580585397,5.25146,200,12840198
508,63305400,0,3593449403,5.25998,200,12864006
509,71556600,0,3606334970,5.26849,200,12885567
510,70509300,0,3619243520,5.277,200,12908550
511,75919300,0,3632174854,5.28551,200,12931334
512,75778500,0,3645130192,5.29402,200,12955338
513,54586300,0,3658108630,5.30254,200,12978438
514,57043600,0,3671109852,5.31105,200,13001222
515,61121600,0,3684134427,5.31956,200,13024575
516,92760000,0,3697181217,5.32807,200,13046790
517,75670200,0,3710250279,5.33659,200,13069062
518,61918200,0,3723341158,5.3451,200,13090879
519,80895400,0,3736455020,5.35361,200,13113862
520,71817400,0,3749592690,5.36212,200,13137670
521,90255400,0,3762753770,5.37063,200,13161080
522,83595000,0,3775938800,5.37915,200,13185030
523,66555400,0,3789146102,5.38766,200,13207302
524,68624800,0,3802377013,5.39617,200,13230911
525,84425500,0,3815630907,5.40469,200,13253894
526,79873500,0,3828907585,5.4132,200,13276678
527,61790200,0,3842207872,5.42172,200,13300287
528,81456600,0,3855531654,5.43024,200,13323782
529,80185200,0,3868879756,5.43875,200,13348102
530,69117700,0,3882250756,5.44727,200,13371000
531,87349500,0,3895644426,5.45579,200,13393670
532,74332900,0,3909059856,5.46431,200,13415430
533,83324100,0,3922498895,5.47283,200,13439039
534,205534900,0,4056716625,5.64951,200,134217730
535,27202700,0,4057266775,5.63974,200,550150
536,26328600,0,4057842326,5.63003,200,575551
537,26093600,0,4058443420,5.6204,200,601094
538,32226900,0,4059070114,5.61084,200,626694
539,36537600,0,4059722604,5.60135,200,652490
540,27281000,0,4060400498,5.59193,200,677894
541,27486400,0,4061103992,5.58258,200,703494
542,31338300,0,4061832887,5.5733,200,728895
543,34487500,0,4062587325,5.56409,200,754438
544,35296700,0,4063366851,5.55494,200,779526
545,32632300,0,4064171778,5.54587,200,804927
546,33193800,0,4065001736,5.53686,200,829958
547,33811500,0,4065856782,5.52792,200,855046
548,35986000,0,4066737542,5.51904,200,880760
549,29953900,0,4067643532,5.51024,200,905990
550,32001900,0,4068574354,5.5015,200,930822
551,38564500,0,4069530833,5.49282,200,956479
552,40786000,0,4070512855,5.48421,200,982022
553,30637300,0,4071520221,5.47567,200,1007366
554,27502000,0,4072552732,5.46719,200,1032511
555,29056100,0,4073610530,5.45877,200,1057798
556,33427000,0,4074693928,5.45042,200,1083398
557,38301800,0,4075803040,5.44213,200,1109112
558,39714200,0,4076937638,5.43391,200,1134598
559,31890300,0,4078097324,5.42575,200,1159686
560,29526000,0,4079282411,5.41765,200,1185087
561,33749300,0,4080492785,5.40962,200,1210374
562,34079500,0,4081728503,5.40164,200,1235718
563,37058100,0,4082989622,5.39373,200,1261119
564,35643100,0,4084276028,5.38588,200,1286406
565,34562200,0,4085587522,5.37809,200,1311494
566,35218000,0,4086924300,5.37036,200,1336778
567,31565900,0,4088286482,5.36269,200,1362182
568,33411300,0,4089674264,5.35509,200,1387782
569,31291000,0,4091087191,5.34754,200,1412927
570,32301300,0,4092524893,5.34005,200,1437702
571,35141800,0,4093987939,5.33262,200,1463046
572,39380800,0,4095476386,5.32525,200,1488447
573,41235900,0,4096989864,5.31794,200,1513478
574,26404700,0,4098528430,5.31068,200,1538566
575,32454300,0,4100092454,5.30348,200,1564024
576,38444200,0,4101681964,5.29635,200,1589510
577,48366500,0,4103296818,5.28926,200,1614854
578,35473600,0,4104936817,5.28224,200,1639999
579,30427700,0,4106602103,5.27527,200,1665286
580,27565200,0,4108292733,5.26836,200,1690630
581,34777800,0,4110008508,5.2615,200,1715775
582,34452400,0,4111749314,5.2547,200,1740806
583,36899600,0,4113515464,5.24796,200,1766150
584,33696700,0,4115306816,5.24127,200,1791352
585,32089500,0,4117123654,5.23463,200,1816838
586,33484900,0,4118965324,5.22806,200,1841670
587,37056300,0,4120832139,5.22153,200,1866815
588,37940400,0,4122724241,5.21506,200,1892102
